"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2016 TT)","2084-2095","4","4.0e-7","11.56","26.0","0.021","-7.04","-7.41","0","bK16T00T"
"(2019 WU)","2058-2112","10","1.6e-6","10.08","27.0","0.013","-7.04","-7.58","0","bK19W00U"
"(2005 VP)","2053-2103","20","1.0e-7","12.83","25.5","0.027","-7.05","-7.51","0","bK05V00P"
"(2018 VC7)","2068-2117","25","3.2e-6","4.23","27.4","0.011","-7.05","-7.82","0","bK18V07C"
"(2017 RJ2)","2108-2111","7","1.9e-6","15.86","27.5","0.011","-7.05","-7.36","0","bK17R02J"
"(2017 VV12)","2062-2116","10","4.4e-6","6.29","28.0","0.009","-7.05","-7.30","0","bK17V12V"
"(2020 SN5)","2043-2109","6","1.4e-6","13.28","28.2","0.008","-7.06","-7.08","0","bK20S05N"
"(2017 SS12)","2074-2089","5","1.4e-6","10.09","27.1","0.013","-7.06","-7.41","0","bK17S12S"
"(2008 HC38)","2029-2029","1","4.4e-8","14.05","26.1","0.020","-7.07","-7.07","0","bK08H38C"
"(2016 WT)","2072-2119","34","3.1e-5","10.71","29.8","0.004","-7.08","-7.89","0","bK16W00T"
"(2014 HR197)","2021-2112","188","7.3e-8","16.94","26.9","0.014","-7.08","-7.99","0","bK14HJ7R"
"(2013 XU21)","2055-2055","1","2.3e-7","11.04","26.2","0.020","-7.08","-7.08","0","bK13X21U"
"(2003 YS70)","2107-2116","2","1.7e-5","3.16","28.8","0.006","-7.09","-7.24","0","bK03Y70S"
"(2016 GU2)","2113-2113","1","1.2e-8","39.17","24.1","0.052","-7.09","-7.09","0","bK16G02U"
"(2020 DN3)","2107-2119","7","9.8e-7","13.90","26.8","0.015","-7.09","-7.62","0","bK20D03N"
"(2005 UA1)","2036-2036","1","9.1e-8","14.68","26.4","0.018","-7.10","-7.10","0","bK05U01A"
"(2008 YD3)","2021-2110","30","1.1e-7","7.96","26.0","0.021","-7.10","-7.43","0","bK08Y03D"
"(2020 VN6)","2098-2118","4","3.8e-6","9.21","27.8","0.009","-7.10","-7.27","0","bK20V06N"
"(2018 PA25)","2029-2118","15","2.6e-8","15.29","24.9","0.036","-7.10","-7.27","0","bK18P25A"
"(2016 WU)","2089-2109","3","2.6e-6","7.05","27.3","0.012","-7.10","-7.10","0","bK16W00U"
"(2018 RF5)","2103-2115","2","2.3e-6","8.33","27.4","0.011","-7.10","-7.10","0","bK18R05F"
"(2020 WT4)","2062-2116","11","3.0e-6","3.85","27.8","0.010","-7.10","-7.48","0","bK20W04T"
"(2015 YM1)","2096-2115","5","6.9e-6","6.81","28.4","0.007","-7.12","-7.22","0","bK15Y01M"
"(2018 EV3)","2081-2113","4","9.4e-7","12.58","27.1","0.013","-7.13","-7.26","0","bK18E03V"
"(2014 HE199)","2039-2039","1","2.4e-8","14.50","25.0","0.033","-7.14","-7.14","0","bK14HJ9E"
"(2016 AU193)","2109-2109","1","9.4e-8","21.77","25.3","0.030","-7.14","-7.14","0","bK16AJ3U"
"(2019 SG1)","2064-2064","1","8.6e-7","16.72","27.7","0.010","-7.14","-7.14","0","bK19S01G"
"(2008 UA92)","2078-2078","1","1.3e-6","8.38","27.3","0.012","-7.15","-7.15","0","bK08U92A"
"(2008 US)","2021-2069","24","3.1e-6","18.54","31.4","0.002","-7.15","-7.37","0","bK08U00S"
"(2018 WH1)","2076-2111","13","9.9e-6","4.01","28.5","0.007","-7.16","-7.74","0","bK18W01H"
"(2006 UJ185)","2052-2116","8","2.1e-6","15.45","27.9","0.009","-7.16","-7.52","0","bK06UI5J"
"(2016 TQ54)","2096-2113","7","1.7e-6","9.00","27.3","0.012","-7.16","-7.67","0","bK16T54Q"
"(2010 CK19)","2089-2116","7","4.4e-6","5.01","27.9","0.009","-7.17","-7.73","0","bK10C19K"
"(2011 FA23)","2025-2102","6","3.6e-6","14.34","28.9","0.006","-7.17","-7.34","0","bK11F23A"
"(2019 KT)","2110-2110","3","6.8e-7","11.70","26.6","0.017","-7.17","-7.46","0","bK19K00T"
"(2010 VN1)","2050-2066","5","1.9e-6","10.98","28.3","0.007","-7.19","-7.41","0","bK10V01N"
"(2020 XF4)","2093-2119","10","2.9e-6","6.69","27.6","0.010","-7.19","-7.52","0","bK20X04F"
"(2012 SU9)","2084-2111","6","1.4e-6","10.85","27.2","0.012","-7.20","-7.37","0","bK12S09U"
"(2018 TS6)","2064-2117","19","5.2e-6","7.41","28.2","0.008","-7.20","-7.40","0","bK18T06S"
"(2019 FB1)","2113-2117","2","3.2e-6","7.97","27.7","0.010","-7.20","-7.37","0","bK19F01B"
"(2011 SE58)","2042-2055","3","5.8e-7","15.69","27.6","0.010","-7.21","-7.35","0","bK11S58E"
"(2019 VE4)","2072-2119","6","3.0e-6","8.82","27.9","0.009","-7.21","-7.46","0","bK19V04E"
"(2016 EG28)","2079-2108","4","1.7e-6","14.66","27.8","0.009","-7.21","-7.45","0","bK16E28G"
"(2018 GG4)","2058-2070","2","1.4e-7","16.68","26.2","0.019","-7.21","-7.43","0","bK18G04G"
"(2019 QU3)","2113-2117","2","1.1e-5","6.47","28.7","0.006","-7.21","-7.21","0","bK19Q03U"
"(2014 KC45)","2066-2110","20","1.2e-5","8.91","29.4","0.004","-7.22","-7.68","0","bK14K45C"
"(2017 FC1)","2064-2064","1","2.3e-7","8.28","26.1","0.020","-7.22","-7.22","0","bK17F01C"
"(2018 FK5)","2087-2110","2","3.7e-6","11.28","28.3","0.007","-7.22","-7.50","0","bK18F05K"
"(2017 RX17)","2029-2116","43","3.3e-7","7.54","26.9","0.014","-7.22","-7.87","0","bK17R17X"
"(2006 DO62)","2036-2095","13","1.8e-6","11.30","28.3","0.008","-7.23","-7.64","0","bK06D62O"
"(2004 XG29)","2112-2114","2","2.5e-7","5.10","25.4","0.029","-7.24","-7.37","0","bK04X29G"
"(2014 HJ197)","2045-2117","32","2.4e-5","4.48","30.3","0.003","-7.24","-7.75","0","bK14HJ7J"
"(2017 KC36)","2037-2061","3","6.5e-7","11.93","27.4","0.011","-7.24","-7.29","0","bK17K36C"
"(2010 XP)","2021-2116","73","1.4e-7","8.25","26.8","0.015","-7.25","-7.70","0","bK10X00P"
"(2002 EM7)","2117-2117","2","6.1e-8","10.28","24.4","0.045","-7.25","-7.27","0","bK02E07M"
"(2010 XC)","2021-2111","324","2.9e-6","3.93","29.1","0.005","-7.26","-7.94","0","bK10X00C"
"(2019 BX1)","2058-2115","3","3.1e-6","3.96","28.1","0.008","-7.26","-7.53","0","bK19B01X"
"(2016 TC57)","2112-2112","1","1.2e-6","8.74","27.1","0.013","-7.26","-7.26","0","bK16T57C"
"(2018 WA1)","2082-2117","24","4.1e-5","3.05","30.0","0.003","-7.26","-7.90","0","bK18W01A"
"(2016 BQ15)","2072-2098","2","4.1e-8","21.04","25.1","0.032","-7.27","-7.45","0","bK16B15Q"
"(2018 WA3)","2055-2060","2","6.4e-7","16.37","27.9","0.009","-7.27","-7.28","0","bK18W03A"
"(2017 BK30)","2085-2085","2","9.0e-7","9.95","27.2","0.012","-7.28","-7.52","0","bK17B30K"
"(2015 HO182)","2046-2113","6","2.6e-7","10.92","26.4","0.018","-7.28","-7.60","0","bK15HI2O"
"(2018 RR1)","2086-2119","12","3.4e-5","4.41","29.9","0.004","-7.28","-7.32","0","bK18R01R"
"(2008 BN16)","2083-2083","1","1.1e-7","18.62","25.9","0.022","-7.29","-7.29","0","bK08B16N"
"(2021 CK3)","2056-2118","28","1.4e-5","13.64","29.9","0.004","-7.29","-8.01","0","bK21C03K"
"(2020 PX5)","2086-2118","13","1.8e-5","10.06","29.6","0.004","-7.29","-7.60","0","bK20P05X"
"(2016 VZ17)","2021-2116","179","4.1e-7","9.72","27.4","0.011","-7.30","-8.05","0","bK16V17Z"
"(2014 WE6)","2104-2109","5","4.7e-5","4.42","30.3","0.003","-7.31","-7.60","0","bK14W06E"
"(2016 LE10)","2035-2072","3","4.0e-7","12.63","27.1","0.013","-7.31","-7.53","0","bK16L10E"
"(2016 WN7)","2095-2095","1","2.6e-6","6.16","27.9","0.009","-7.31","-7.31","0","bK16W07N"
"(2018 DB)","2068-2119","3","1.2e-6","16.13","27.6","0.010","-7.31","-7.37","0","bK18D00B"
"(2012 TU231)","2111-2111","1","3.8e-7","9.97","26.2","0.020","-7.32","-7.32","0","bK12TN1U"
"(2017 TT3)","2059-2108","2","1.3e-7","8.67","25.6","0.025","-7.32","-7.52","0","bK17T03T"
"(2020 UC4)","2084-2118","2","2.8e-7","8.48","26.0","0.021","-7.32","-7.45","0","bK20U04C"
"(2008 KT)","2091-2116","9","5.3e-6","2.99","28.2","0.008","-7.33","-7.51","0","bK08K00T"
"(2020 TZ3)","2072-2072","1","4.5e-8","9.38","24.8","0.037","-7.33","-7.33","0","bK20T03Z"
"(2011 UD21)","2116-2116","1","7.4e-6","1.32","28.5","0.007","-7.34","-7.34","0","bK11U21D"
"(2019 AK12)","2113-2119","3","1.1e-6","15.17","27.5","0.011","-7.34","-7.68","0","bK19A12K"
"(2020 VK6)","2090-2090","1","1.4e-7","9.57","25.6","0.026","-7.34","-7.34","0","bK20V06K"
"(2017 KB3)","2117-2119","2","9.8e-8","11.43","25.1","0.033","-7.35","-7.35","0","bK17K03B"
"(2011 AZ22)","2034-2114","8","1.1e-6","12.52","28.6","0.006","-7.36","-7.44","0","bK11A22Z"
"(2016 TH)","2072-2115","26","9.3e-6","7.41","29.4","0.004","-7.36","-7.56","0","bK16T00H"
"(2018 RJ3)","2070-2070","1","1.3e-6","8.13","27.8","0.009","-7.36","-7.36","0","bK18R03J"
"(2018 WE)","2057-2097","8","1.4e-6","12.75","28.3","0.007","-7.37","-7.63","0","bK18W00E"
"(2011 EM40)","2054-2113","12","1.4e-6","10.70","28.0","0.009","-7.37","-7.97","0","bK11E40M"
"(2019 UB8)","2053-2118","13","4.3e-6","10.34","28.9","0.005","-7.37","-7.83","0","bK19U08B"
"(2017 DP109)","2086-2086","2","4.3e-7","12.33","26.9","0.014","-7.37","-7.55","0","bK17DA9P"
"(2013 JM22)","2095-2095","1","3.2e-9","29.67","23.3","0.075","-7.37","-7.37","0","bK13J22M"
"(2009 WJ6)","2049-2056","2","3.0e-7","18.16","27.6","0.010","-7.38","-7.40","0","bK09W06J"
"(2015 VL64)","2085-2109","8","3.0e-6","8.68","28.3","0.007","-7.38","-7.96","0","bK15V64L"
"(1993 HP1)","2065-2112","4","4.5e-7","9.84","26.9","0.014","-7.39","-7.60","0","bJ93H01P"
"(2006 WK130)","2103-2103","1","2.0e-9","20.74","22.4","0.110","-7.39","-7.39","0","bK06WD0K"
"(2007 EE126)","2065-2092","3","3.2e-8","31.60","25.6","0.026","-7.39","-7.61","0","bK07EC6E"
"(2008 CJ)","2061-2106","2","1.1e-6","8.06","27.3","0.012","-7.40","-7.40","0","bK08C00J"
"(2016 WR55)","2100-2115","13","2.5e-6","14.12","28.3","0.007","-7.40","-7.72","0","bK16W55R"
"(2017 WY27)","2045-2116","13","2.1e-6","8.10","27.9","0.009","-7.40","-8.02","0","bK17W27Y"
"(2020 QR5)","2103-2115","7","1.3e-6","6.79","27.3","0.012","-7.40","-7.55","0","bK20Q05R"
"(2001 SD286)","2080-2080","1","5.7e-8","12.56","25.2","0.030","-7.41","-7.41","0","bK01SS6D"
"(2019 WV1)","2078-2117","14","2.8e-6","8.74","28.2","0.008","-7.41","-7.84","0","bK19W01V"
"(2014 EU)","2080-2117","5","1.9e-6","5.63","27.7","0.010","-7.41","-7.72","0","bK14E00U"
"(2009 WZ53)","2025-2104","7","1.0e-8","18.98","24.1","0.052","-7.41","-7.85","0","bK09W53Z"
"(2015 VO142)","2065-2118","10","6.9e-6","2.80","29.0","0.005","-7.41","-7.68","0","bK15VE2O"
"(2016 FV7)","2083-2083","1","1.7e-9","32.99","23.1","0.082","-7.41","-7.41","0","bK16F07V"
"(2011 AD3)","2027-2116","74","1.6e-7","12.63","26.6","0.017","-7.42","-8.21","0","bK11A03D"
"(2019 RQ2)","2105-2105","1","8.3e-8","15.12","25.4","0.028","-7.42","-7.42","0","bK19R02Q"
"(2016 QY84)","2022-2119","582","2.4e-5","3.21","31.4","0.002","-7.42","-8.32","0","bK16Q84Y"
"(2020 BM6)","2119-2119","1","1.3e-8","11.48","23.4","0.072","-7.42","-7.42","0","bK20B06M"
"(2008 CB6)","2083-2105","3","7.2e-7","7.43","27.1","0.013","-7.43","-7.51","0","bK08C06B"
"(2019 LA2)","2109-2109","1","3.5e-7","14.48","26.7","0.016","-7.43","-7.43","0","bK19L02A"
"(2011 UR63)","2110-2110","2","1.4e-7","12.57","25.7","0.024","-7.44","-7.55","0","bK11U63R"
"(2014 KS76)","2089-2107","3","4.4e-7","7.18","26.6","0.016","-7.44","-7.60","0","bK14K76S"
"(2015 VN64)","2088-2094","3","6.2e-7","15.86","27.5","0.010","-7.44","-7.71","0","bK15V64N"
"(2020 AC1)","2093-2117","9","4.2e-6","6.25","28.4","0.007","-7.44","-8.00","0","bK20A01C"
"(2018 LV3)","2061-2061","1","1.7e-7","11.19","26.6","0.017","-7.44","-7.44","0","bK18L03V"
"(2020 VA4)","2096-2114","3","1.5e-6","4.75","27.4","0.011","-7.44","-7.70","0","bK20V04A"
"(2004 FY3)","2104-2116","2","7.5e-8","11.79","25.1","0.032","-7.45","-7.50","0","bK04F03Y"
"(2011 DX4)","2023-2114","24","4.9e-8","17.66","26.5","0.017","-7.46","-7.86","0","bK11D04X"
"(2021 CD8)","2099-2115","2","5.1e-6","2.19","28.5","0.007","-7.46","-7.62","0","bK21C08D"
"(2003 DW10)","2046-2058","2","8.7e-8","7.83","26.1","0.020","-7.47","-7.62","0","bK03D10W"
"(2012 HE31)","2094-2117","2","1.7e-7","10.60","26.0","0.022","-7.47","-7.52","0","bK12H31E"
"(2013 GW38)","2070-2118","10","2.1e-6","10.27","28.4","0.007","-7.47","-7.71","0","bK13G38W"
"(2007 XB23)","2078-2115","10","6.7e-7","4.58","27.1","0.013","-7.48","-7.77","0","bK07X23B"
"(2019 GS19)","2102-2102","1","9.5e-8","13.87","25.6","0.025","-7.48","-7.48","0","bK19G19S"
"(2013 XS21)","2079-2111","10","7.8e-6","7.50","29.4","0.004","-7.49","-7.79","0","bK13X21S"
"(2021 EU4)","2112-2112","1","2.9e-8","17.14","24.7","0.039","-7.49","-7.49","0","bK21E04U"
"(2019 KY3)","2101-2110","2","2.1e-7","16.65","26.6","0.016","-7.50","-7.54","0","bK19K03Y"
"(2007 VD8)","2023-2112","59","3.5e-7","12.65","27.7","0.010","-7.51","-8.27","0","bK07V08D"
"(2017 FA159)","2022-2116","180","8.7e-7","6.96","28.6","0.006","-7.51","-8.15","0","bK17FF9A"
"(2021 CD)","2118-2121","5","8.0e-7","9.63","27.2","0.012","-7.51","-7.98","0","bK21C00D"
"(2002 AN129)","2091-2091","1","1.3e-7","11.58","26.0","0.021","-7.52","-7.52","0","bK02AC9N"
"(2016 EL1)","2068-2109","6","5.4e-7","19.90","27.8","0.009","-7.54","-7.98","0","bK16E01L"
"(2018 XX2)","2106-2106","1","1.5e-7","11.91","26.0","0.021","-7.54","-7.54","0","bK18X02X"
"(2007 FP3)","2055-2113","13","2.0e-6","9.65","28.4","0.007","-7.55","-7.90","0","bK07F03P"
"(2017 CY32)","2041-2110","7","4.1e-7","19.78","28.4","0.007","-7.55","-7.89","0","bK17C32Y"
"(2017 FW158)","2067-2115","16","1.4e-6","15.00","28.4","0.007","-7.55","-8.24","0","bK17FF8W"
"(2016 DK2)","2069-2069","1","1.5e-6","17.57","29.0","0.005","-7.56","-7.56","0","bK16D02K"
"(2016 PA79)","2037-2102","10","1.1e-8","12.69","24.3","0.047","-7.56","-8.16","0","bK16P79A"
"(2017 OO1)","2115-2115","1","3.5e-8","10.04","24.5","0.042","-7.56","-7.56","0","bK17O01O"
"(2017 UL5)","2100-2111","2","2.6e-7","8.14","26.4","0.018","-7.56","-7.59","0","bK17U05L"
"(2019 NL4)","2074-2074","1","8.0e-8","14.03","26.1","0.021","-7.57","-7.57","0","bK19N04L"
"(2017 YM14)","2056-2074","5","3.9e-7","18.39","27.8","0.009","-7.57","-7.75","0","bK17Y14M"
"(2007 EH26)","2110-2110","1","1.2e-8","20.17","24.2","0.048","-7.58","-7.58","0","bK07E26H"
"(2018 GD2)","2096-2117","15","8.6e-6","7.58","29.4","0.004","-7.58","-8.22","0","bK18G02D"
"(2020 VV6)","2076-2115","9","3.0e-7","17.12","27.3","0.012","-7.59","-7.87","0","bK20V06V"
"(2013 CY)","2072-2111","7","2.2e-6","2.42","28.2","0.008","-7.59","-7.93","0","bK13C00Y"
"(2017 UQ7)","2096-2096","1","4.0e-8","14.07","25.2","0.031","-7.59","-7.59","0","bK17U07Q"
"(2019 JY2)","2059-2119","26","8.1e-6","7.67","29.6","0.004","-7.60","-8.33","0","bK19J02Y"
"(2020 SC)","2088-2092","3","1.2e-7","21.86","26.7","0.016","-7.60","-7.80","0","bK20S00C"
"(2018 FG1)","2103-2117","7","6.5e-7","9.98","27.3","0.012","-7.61","-8.13","0","bK18F01G"
"(2012 UE)","2040-2058","4","6.2e-7","13.24","28.4","0.007","-7.63","-7.71","0","bK12U00E"
"(2014 HB177)","2085-2099","2","1.7e-6","6.08","28.3","0.007","-7.63","-7.67","0","bK14HH7B"
"(2018 HJ2)","2085-2085","1","2.4e-8","8.41","24.6","0.041","-7.63","-7.63","0","bK18H02J"
"(2014 HV2)","2116-2116","1","1.2e-7","13.17","26.0","0.021","-7.63","-7.63","0","bK14H02V"
"(2017 HY3)","2024-2024","1","2.1e-9","16.89","25.4","0.028","-7.63","-7.63","0","bK17H03Y"
"(2019 VB5)","2052-2118","106","6.2e-5","5.73","31.7","0.002","-7.64","-8.10","0","bK19V05B"
"(2008 UM1)","2021-2073","7","5.4e-7","18.99","31.6","0.002","-7.64","-7.68","0","bK08U01M"
"(2011 EL40)","2073-2073","1","8.6e-8","16.98","26.5","0.017","-7.64","-7.64","0","bK11E40L"
"(2017 UL52)","2030-2117","225","1.1e-6","5.89","28.1","0.008","-7.64","-8.81","0","bK17U52L"
"(2015 KH158)","2043-2115","18","6.1e-8","14.41","26.0","0.021","-7.65","-7.99","0","bK15KF8H"
"(2016 FC1)","2082-2088","4","2.1e-6","15.19","29.1","0.005","-7.65","-7.79","0","bK16F01C"
"(2012 RU16)","2036-2089","2","4.8e-8","9.13","25.6","0.026","-7.66","-7.90","0","bK12R16U"
"(2012 VV76)","2074-2094","2","4.6e-8","14.73","25.6","0.026","-7.67","-7.81","0","bK12V76V"
"(2019 TD)","2042-2060","2","1.7e-6","9.79","29.2","0.005","-7.67","-7.84","0","bK19T00D"
"(2016 UB26)","2066-2066","1","1.2e-8","18.33","25.0","0.034","-7.67","-7.67","0","bK16U26B"
"(2008 UC202)","2116-2116","3","2.4e-6","4.17","28.2","0.008","-7.68","-7.72","0","bK08UK2C"
"(2019 JK)","2053-2053","2","2.5e-7","17.81","28.0","0.009","-7.68","-7.80","0","bK19J00K"
"(2008 JD33)","2022-2117","154","2.4e-7","4.66","28.0","0.009","-7.68","-8.54","0","bK08J33D"
"(2020 TD5)","2118-2118","1","2.7e-7","9.12","26.6","0.016","-7.69","-7.69","0","bK20T05D"
"(2008 EK68)","2023-2117","234","3.2e-6","7.59","29.8","0.004","-7.70","-8.84","0","bK08E68K"
"(2008 CM74)","2079-2100","7","1.4e-6","4.08","28.1","0.008","-7.70","-8.12","0","bK08C74M"
"(2009 VT1)","2046-2109","5","2.5e-6","6.97","29.6","0.004","-7.70","-7.79","0","bK09V01T"
"(2019 GK3)","2103-2116","3","8.2e-6","2.95","29.5","0.004","-7.70","-7.71","0","bK19G03K"
"(2003 UM3)","2022-2115","37","4.5e-7","13.43","28.0","0.008","-7.72","-8.57","0","bK03U03M"
"(2005 UC3)","2072-2109","2","3.8e-7","7.83","27.1","0.013","-7.72","-7.93","0","bK05U03C"
"(2014 OP2)","2071-2079","3","1.8e-6","11.63","29.1","0.005","-7.72","-7.84","0","bK14O02P"
"(2004 XO63)","2065-2065","1","7.3e-8","8.16","26.1","0.021","-7.72","-7.72","0","bK04X63O"
"(2019 CY2)","2029-2029","2","1.6e-8","13.57","26.6","0.016","-7.72","-7.97","0","bK19C02Y"
"(2009 MU)","2096-2099","2","1.6e-8","13.33","24.6","0.042","-7.73","-7.88","0","bK09M00U"
"(2017 YE8)","2112-2112","1","5.2e-8","14.26","25.5","0.027","-7.73","-7.73","0","bK17Y08E"
"(2020 SX6)","2103-2113","2","5.6e-7","4.06","27.1","0.013","-7.73","-7.75","0","bK20S06X"
"(2008 YC3)","2086-2103","5","5.8e-8","6.24","25.4","0.029","-7.74","-7.83","0","bK08Y03C"
"(2018 EL4)","2110-2110","2","6.6e-8","5.58","25.3","0.030","-7.74","-7.99","0","bK18E04L"
"(2016 TG94)","2096-2116","16","6.9e-6","8.76","29.6","0.004","-7.74","-8.32","0","bK16T94G"
"(2020 CW)","2046-2077","4","2.1e-5","20.11","32.5","0.001","-7.74","-7.74","0","bK20C00W"
"(2021 BR2)","2037-2104","19","9.3e-6","7.34","30.8","0.002","-7.75","-7.98","0","bK21B02R"
"(2019 QB1)","2032-2053","2","1.1e-7","11.56","27.5","0.011","-7.77","-7.98","0","bK19Q01B"
"(2010 XB)","2027-2029","2","2.5e-7","19.67","29.6","0.004","-7.78","-8.05","0","bK10X00B"
"(2017 KH5)","2067-2074","2","2.4e-7","14.82","27.6","0.010","-7.78","-8.07","0","bK17K05H"
"(2020 XU4)","2112-2112","1","1.0e-6","6.68","27.8","0.009","-7.78","-7.78","0","bK20X04U"
"(2010 GV23)","2096-2105","2","7.3e-7","5.42","27.6","0.010","-7.79","-7.97","0","bK10G23V"
"(2014 HM199)","2025-2104","2","4.9e-10","10.54","23.7","0.063","-7.79","-7.80","0","bK14HJ9M"
"(2015 KH160)","2087-2107","3","3.5e-8","30.01","26.4","0.018","-7.80","-7.93","0","bK15KG0H"
"(2015 FC345)","2097-2109","3","8.5e-7","6.76","27.8","0.009","-7.80","-7.80","0","bK15FY5C"
"(2004 FM4)","2116-2116","1","1.5e-8","14.82","24.6","0.042","-7.80","-7.80","0","bK04F04M"
"(2020 UA)","2074-2081","5","1.1e-6","6.48","28.4","0.007","-7.81","-8.16","0","bK20U00A"
"(2020 UJ)","2043-2043","1","2.3e-9","14.80","24.2","0.050","-7.81","-7.81","0","bK20U00J"
"(2017 UW5)","2081-2111","2","1.2e-6","13.01","28.7","0.006","-7.82","-8.12","0","bK17U05W"
"(2020 DM3)","2109-2109","1","6.8e-8","16.52","26.2","0.020","-7.83","-7.83","0","bK20D03M"
"(2020 UY)","2068-2119","12","2.3e-6","6.85","28.9","0.005","-7.83","-8.49","0","bK20U00Y"
"(2011 FQ16)","2105-2114","4","6.5e-7","7.99","27.7","0.010","-7.84","-8.02","0","bK11F16Q"
"(2012 BN123)","2074-2110","4","2.8e-9","10.15","23.2","0.078","-7.84","-8.15","0","bK12BC3N"
"(2019 VA)","2090-2112","3","1.1e-6","8.24","28.3","0.007","-7.84","-8.03","0","bK19V00A"
"(2019 YV4)","2035-2049","4","6.2e-8","18.77","27.3","0.012","-7.84","-7.94","0","bK19Y04V"
"(2017 UL6)","2058-2106","23","4.7e-5","7.13","32.0","0.001","-7.85","-8.36","0","bK17U06L"
"(2017 UF)","2066-2082","2","1.8e-7","23.24","27.9","0.009","-7.85","-8.08","0","bK17U00F"
"(2021 FA)","2106-2106","1","2.6e-8","11.78","25.1","0.033","-7.86","-7.86","0","bK21F00A"
"(2016 GS134)","2054-2070","2","2.7e-7","11.02","27.8","0.010","-7.87","-8.00","0","bK16GD4S"
"(2020 GV2)","2077-2078","2","9.6e-8","14.88","26.9","0.014","-7.88","-8.08","0","bK20G02V"
"(2008 EF85)","2110-2110","3","1.7e-7","9.53","26.7","0.016","-7.89","-7.92","0","bK08E85F"
"(2019 QF)","2069-2077","2","3.6e-7","11.14","27.9","0.009","-7.89","-8.13","0","bK19Q00F"
"(2020 RB7)","2105-2117","5","1.9e-7","19.07","27.3","0.012","-7.90","-8.03","0","bK20R07B"
"(2017 TU1)","2076-2101","2","7.0e-8","10.75","26.1","0.020","-7.90","-8.03","0","bK17T01U"
"(2020 FG)","2102-2118","5","4.3e-7","14.79","27.9","0.009","-7.90","-8.37","0","bK20F00G"
"(2020 FU2)","2098-2112","6","9.7e-7","12.88","28.6","0.006","-7.91","-8.15","0","bK20F02U"
"(2021 AD4)","2084-2121","2","6.4e-8","5.17","25.6","0.025","-7.91","-8.20","0","bK21A04D"
"(2015 HE1)","2098-2098","1","1.4e-7","14.60","27.0","0.013","-7.92","-7.92","0","bK15H01E"
"(2020 SL6)","2092-2110","4","3.6e-7","14.46","27.8","0.009","-7.92","-8.06","0","bK20S06L"
"(2019 EH1)","2052-2118","13","2.8e-6","14.48","30.1","0.003","-7.93","-8.43","0","bK19E01H"
"(2020 SK4)","2055-2119","30","1.0e-5","5.52","30.3","0.003","-7.93","-8.74","0","bK20S04K"
"(2008 VB4)","2030-2106","18","1.2e-7","11.59","28.2","0.008","-7.94","-8.20","0","bK08V04B"
"(2018 BX5)","2090-2118","10","2.0e-6","7.78","29.0","0.005","-7.94","-8.36","0","bK18B05X"
"(2017 VF14)","2080-2093","5","7.2e-7","11.85","28.5","0.007","-7.95","-8.23","0","bK17V14F"
"(2011 SE191)","2098-2098","1","1.6e-8","14.57","25.1","0.033","-7.96","-7.96","0","bK11SJ1E"
"(2015 SK7)","2059-2107","4","9.2e-7","12.16","28.8","0.006","-7.96","-8.27","0","bK15S07K"
"(2015 XH55)","2092-2117","6","2.5e-6","7.13","29.2","0.005","-7.96","-8.32","0","bK15X55H"
"(2017 BE30)","2100-2100","1","4.8e-8","16.69","26.3","0.019","-7.98","-7.98","0","bK17B30E"
"(2012 TP20)","2069-2102","3","4.0e-7","7.30","27.9","0.009","-7.99","-8.28","0","bK12T20P"
"(2016 FE15)","2068-2116","3","6.1e-7","12.20","28.8","0.006","-8.00","-8.01","0","bK16F15E"
"(2016 VF18)","2031-2082","6","2.4e-6","10.06","29.8","0.004","-8.01","-8.05","0","bK16V18F"
"(2017 YD2)","2055-2065","4","5.9e-7","8.49","28.7","0.006","-8.03","-8.08","0","bK17Y02D"
"(2019 DM1)","2072-2091","3","2.3e-7","17.58","28.0","0.008","-8.04","-8.24","0","bK19D01M"
"(2019 YL3)","2047-2047","1","1.1e-7","9.99","27.7","0.010","-8.04","-8.04","0","bK19Y03L"
"(2020 AR1)","2088-2088","1","1.7e-7","9.05","27.2","0.012","-8.05","-8.05","0","bK20A01R"
"(2013 NR13)","2114-2114","1","4.0e-8","11.31","25.8","0.024","-8.05","-8.05","0","bK13N13R"
"(2019 CZ1)","2114-2114","1","3.8e-9","22.61","24.3","0.047","-8.06","-8.06","0","bK19C01Z"
"(2021 BL2)","2035-2117","27","1.5e-7","12.95","28.5","0.007","-8.06","-8.15","0","bK21B02L"
"(2015 FU344)","2066-2111","10","7.0e-6","9.92","31.0","0.002","-8.07","-8.25","0","bK15FY4U"
"(2020 BA13)","2068-2105","8","9.2e-7","10.01","28.8","0.006","-8.07","-8.68","0","bK20B13A"
"(2015 PS228)","2080-2115","3","1.4e-6","2.55","28.9","0.005","-8.08","-8.16","0","bK15PM8S"
"(2020 GX)","2061-2079","4","1.2e-9","21.69","23.9","0.055","-8.09","-8.43","0","bK20G00X"
"(2019 QR8)","2105-2105","3","3.5e-7","12.93","28.0","0.008","-8.10","-8.33","0","bK19Q08R"
